rashomon_n_iters,seed,downstream_mean_reward,downstream_failure_rate,source_mean_reward,source_failure_rate,selected_certificate,inverse_temperature,rashomon_dataset_size
10000,0,-298.2223308349532,0.0,227.5870655957899,0.0,1.0,77,23200
10000,1,-129.3836451049974,0.0,215.04418893679292,0.0,1.0,50,26400
10000,2,-141.32599424640372,0.0,222.04804982829432,0.0,1.0,60,28500
10000,3,-112.61987081597725,0.0,210.2409930597848,0.0,1.0,124,34500
10000,4,-182.40147892102792,0.0,212.22935963799944,0.0,1.0,245,30600
10000,5,-127.63084159505212,0.0,210.0025804605697,0.0,1.0,62,31700
10000,6,-124.85446039573982,0.0,207.38385599282304,0.0,1.0,49,31400
10000,7,-309.37157750305187,0.0,205.67943920818416,0.0,1.0,203,33700
10000,8,-177.54256625674086,0.0,204.46446395022807,0.0,1.0,45,32600
10000,9,-131.71462800669903,0.0,203.66182987876334,0.0,1.0,30,34600
100000,0,-170.622468057566,0.0,227.5870655957899,0.0,1.0,77,23200
100000,1,-129.3791727113913,0.0,215.04418893679292,0.0,1.0,50,26400
100000,2,-213.8224882238207,0.0,222.04804982829432,0.0,1.0,60,28500
100000,3,-122.13171357136326,0.0,210.2409930597848,0.0,1.0,124,34500
100000,4,-133.86146386827323,0.0,212.22935963799944,0.0,1.0,245,30600
100000,5,-125.03248712777888,0.0,210.0025804605697,0.0,1.0,62,31700
100000,6,-148.80281304575053,0.0,207.38385599282304,0.0,1.0,49,31400
100000,7,-211.81349818156096,0.0,205.67943920818416,0.0,1.0,203,33700
100000,8,-161.72509224375798,0.0,204.46446395022807,0.0,1.0,45,32600
100000,9,-111.63383948171526,0.0,203.66182987876334,0.0,1.0,30,34600
200000,0,-155.1395850849899,0.0,227.5870655957899,0.0,1.0,77,23200
200000,1,-155.0294322369923,0.0,215.04418893679292,0.0,1.0,50,26400
200000,2,-180.15380031474513,0.0,222.04804982829432,0.0,1.0,60,28500
200000,3,-117.95025283049375,0.0,210.2409930597848,0.0,1.0,124,34500
200000,4,-203.22578709002102,0.0,212.22935963799944,0.0,1.0,245,30600
200000,5,-135.47532745855324,0.0,210.0025804605697,0.0,1.0,62,31700
200000,6,-62.16368423560723,1.0,207.38385599282304,0.0,1.0,49,31400
200000,7,-112.83418783515474,0.0,205.67943920818416,0.0,1.0,203,33700
200000,8,-167.20457912421375,0.0,204.46446395022807,0.0,1.0,45,32600
200000,9,-126.7936749501425,0.0,203.66182987876334,0.0,1.0,30,34600
