environment,environment_id,method,method_key,comparison_role,seed_count,seeds,eval_episodes_mean,total_reward_mean,total_reward_std,total_reward_sem,total_reward_min,total_reward_max,safety_rate_mean,safety_rate_std,safety_rate_sem,safety_rate_min,safety_rate_max,success_rate_mean,source_root
Bridge Crossing v1,bridge_crossing,PPO,ppo_policy,reference_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.296,0.47672959957517963,0.15075513626776074,0.0,1.0,0.873,0.28150587126302634,0.0890199727901304,0.13,1.0,0.296,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v1,bridge_crossing,PPO-Lagrangian,ppo_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.1,0.31622776601683794,0.09999999999999999,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v1,bridge_crossing,PPO-PID-Lagrangian,ppo_pid_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.0,0.0,0.0,0.0,0.0,0.999,0.003162277660168382,0.0010000000000000009,0.99,1.0,0.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v1,bridge_crossing,CPO,cpo,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v1,bridge_crossing,PPO-Shield,ppo_shield_shielded,safe_rl_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v1,bridge_crossing,PPO-Shield-Nominal,ppo_shield_nominal,reference_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_baselines_only/bridge_crossing
Bridge Crossing v2,bridge_crossing_v2,PPO,ppo_policy,reference_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.8800000000000001,0.30922843048824317,0.0977866157621902,0.0,0.98,0.9800000000000001,0.008164965809277268,0.0025819888974716134,0.97,1.0,0.8800000000000001,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Bridge Crossing v2,bridge_crossing_v2,PPO-Lagrangian,ppo_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.394,0.5086845781031699,0.16086018774078312,0.0,1.0,0.994,0.009660917830792967,0.003055050463303896,0.98,1.0,0.394,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Bridge Crossing v2,bridge_crossing_v2,PPO-PID-Lagrangian,ppo_pid_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.476,0.5068245368084611,0.1602719910374583,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.476,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Bridge Crossing v2,bridge_crossing_v2,CPO,cpo,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,0.6980000000000001,0.4817053041019997,0.1523285921946369,0.0,1.0,0.998,0.006324555320336764,0.0020000000000000018,0.98,1.0,0.6980000000000001,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Bridge Crossing v2,bridge_crossing_v2,PPO-Shield,ppo_shield_shielded,safe_rl_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Bridge Crossing v2,bridge_crossing_v2,PPO-Shield-Nominal,ppo_shield_nominal,reference_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_bridge_crossing_v2_baselines_only/bridge_crossing_v2
Colour Bomb v1,colour_bomb,PPO,ppo_policy,reference_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v1,colour_bomb,PPO-Lagrangian,ppo_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v1,colour_bomb,PPO-PID-Lagrangian,ppo_pid_lagrangian,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v1,colour_bomb,CPO,cpo,safe_rl_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v1,colour_bomb,PPO-Shield,ppo_shield_shielded,safe_rl_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v1,colour_bomb,PPO-Shield-Nominal,ppo_shield_nominal,reference_baseline,0,,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_baselines_only/colour_bomb
Colour Bomb v2,colour_bomb_v2,PPO,ppo_policy,reference_baseline,10,0 1 2 3 4 5 6 7 8 9,100.0,36.387,0.8428529593654579,0.2665335084208194,35.13,38.0,0.0,0.0,0.0,0.0,0.0,1.0,/vol/bitbucket/ma5923/_projects/CertifiedContinualLearning/outputs/_sweeps_2hidden_colour_bomb_v2_baselines_only/colour_bomb_v2
